ZIP,COUNTYNAME,STATE,Helper1,Helper2,ZIP2,STCOUNTYFP,CLASSFP,,State,STCode,State Acres,Natl. Parks,Park Coverage (acres),%NPARK,,,,,,,,,,
19901,Kent County,DE,DE|Kent County,DE|Kent,19901,10001,H1,,Alabama,AL,33548173,0,0,0.00%,,,,,,,,,,
19902,Kent County,DE,DE|Kent County,DE|Kent,19902,10001,H1,,Alaska,AK,424491046,8,32526050.55,7.66%,,,,,,,,,,
19903,Kent County,DE,DE|Kent County,DE|Kent,19903,10001,H1,,Arizona,AZ,72958912,3,1515904.66,2.08%,,,,,,,,,,
19904,Kent County,DE,DE|Kent County,DE|Kent,19904,10001,H1,,Arkansas,AR,34034317,1,5554.15,0.02%,,,,,,,,,,
19934,Kent County,DE,DE|Kent County,DE|Kent,19934,10001,H1,,American Samoa,AS,-1,1,8256.67,-100.00%,,,,,,,,,,
19936,Kent County,DE,DE|Kent County,DE|Kent,19936,10001,H1,,California,CA,104765165,9,6353097.93,6.06%,,,,,,,,,,
19938,Kent County,DE,DE|Kent County,DE|Kent,19938,10001,H1,,Colorado,CO,66619885,4,456417.97,0.69%,,,,,,,,,,
19943,Kent County,DE,DE|Kent County,DE|Kent,19943,10001,H1,,Connecticut,CT,3547731,0,0,0.00%,,,,,,,,,,
19946,Kent County,DE,DE|Kent County,DE|Kent,19946,10001,H1,,Delaware,DE,1593133,0,0,0.00%,,,,,,,,,,
19950,Kent County,DE,DE|Kent County,DE|Kent,19950,10001,H1,,District of Columbia,DC,-1,0,0,-100.00%,,,,,,,,,,
19952,Kent County,DE,DE|Kent County,DE|Kent,19952,10001,H1,,Florida,FL,42082938,3,1746610.9,4.15%,,,,,,,,,,
19953,Kent County,DE,DE|Kent County,DE|Kent,19953,10001,H1,,Georgia,GA,38031853,0,0,0.00%,,,,,,,,,,
19954,Kent County,DE,DE|Kent County,DE|Kent,19954,10001,H1,,Guam,GU,-1,0,0,-100.00%,,,,,,,,,,
19955,Kent County,DE,DE|Kent County,DE|Kent,19955,10001,H1,,Hawaii,HI,6995827,2,358869.9,5.13%,,,,,,,,,,
19961,Kent County,DE,DE|Kent County,DE|Kent,19961,10001,H1,,Idaho,ID,53484851,1,0,0.00%,,,,,,,,,,
19962,Kent County,DE,DE|Kent County,DE|Kent,19962,10001,H1,,Illinois,IL,37065203,0,0,0.00%,,,,,,,,,,
19963,Kent County,DE,DE|Kent County,DE|Kent,19963,10001,H1,,Indiana,IN,23307347,1,15349.08,0.07%,,,,,,,,,,
19964,Kent County,DE,DE|Kent County,DE|Kent,19964,10001,H1,,Iowa,IA,36013792,0,0,0.00%,,,,,,,,,,
19977,Kent County,DE,DE|Kent County,DE|Kent,19977,10001,H1,,Kansas,KS,52657178,0,0,0.00%,,,,,,,,,,
19979,Kent County,DE,DE|Kent County,DE|Kent,19979,10001,H1,,Kentucky,KY,25861773,1,54016.29,0.21%,,,,,,,,,,
19980,Kent County,DE,DE|Kent County,DE|Kent,19980,10001,H1,,Louisiana,LA,33177408,0,0,0.00%,,,,,,,,,,
19701,New Castle County,DE,DE|New Castle County,DE|New Castle,19701,10003,H1,,Maine,ME,22646176,1,49071.4,0.22%,,,,,,,,,,
19702,New Castle County,DE,DE|New Castle County,DE|New Castle,19702,10003,H1,,Maryland,MD,7940275,0,0,0.00%,,,,,,,,,,
19703,New Castle County,DE,DE|New Castle County,DE|New Castle,19703,10003,H1,,Massachusetts,MA,-1,0,0,-100.00%,,,,,,,,,,
19706,New Castle County,DE,DE|New Castle County,DE|New Castle,19706,10003,H1,,Michigan,MI,61898310,1,571790.3,0.92%,,,,,,,,,,
19707,New Castle County,DE,DE|New Castle County,DE|New Castle,19707,10003,H1,,Minnesota,MN,55640877,1,218222.35,0.39%,,,,,,,,,,
19708,New Castle County,DE,DE|New Castle County,DE|New Castle,19708,10003,H1,,Mississippi,MS,30995322,0,0,0.00%,,,,,,,,,,
19709,New Castle County,DE,DE|New Castle County,DE|New Castle,19709,10003,H1,,Missouri,MO,44610758,1,91,0.00%,,,,,,,,,,
19710,New Castle County,DE,DE|New Castle County,DE|New Castle,19710,10003,H1,,Montana,MT,94107136,2,1013126.39,1.08%,,,,,,,,,,
19711,New Castle County,DE,DE|New Castle County,DE|New Castle,19711,10003,H1,,Nebraska,NE,49506387,0,0,0.00%,,,,,,,,,,
19712,New Castle County,DE,DE|New Castle County,DE|New Castle,19712,10003,H1,,Nevada,NV,70758861,2,77180,0.11%,,,,,,,,,,
19713,New Castle County,DE,DE|New Castle County,DE|New Castle,19713,10003,H1,,New Hampshire,NH,5983962,0,0,0.00%,,,,,,,,,,
19714,New Castle County,DE,DE|New Castle County,DE|New Castle,19714,10003,H1,,New Jersey,NJ,5581632,0,0,0.00%,,,,,,,,,,
19715,New Castle County,DE,DE|New Castle County,DE|New Castle,19715,10003,H1,,New Mexico,NM,77817267,2,193110.76,0.25%,,,,,,,,,,
19716,New Castle County,DE,DE|New Castle County,DE|New Castle,19716,10003,H1,,New York,NY,34915840,0,0,0.00%,,,,,,,,,,
19717,New Castle County,DE,DE|New Castle County,DE|New Castle,19717,10003,H1,,North Carolina,NC,34443846,1,522426.88,1.52%,,,,,,,,,,
19718,New Castle County,DE,DE|New Castle County,DE|New Castle,19718,10003,H1,,North Dakota,ND,45247866,1,70446.89,0.16%,,,,,,,,,,
19720,New Castle County,DE,DE|New Castle County,DE|New Castle,19720,10003,H1,,Northern Mariana Islands,MP,-1,0,0,-100.00%,,,,,,,,,,
19721,New Castle County,DE,DE|New Castle County,DE|New Castle,19721,10003,H1,,Ohio,OH,28687936,1,32571.88,0.11%,,,,,,,,,,
19726,New Castle County,DE,DE|New Castle County,DE|New Castle,19726,10003,H1,,Oklahoma,OK,44734842,0,0,0.00%,,,,,,,,,,
19730,New Castle County,DE,DE|New Castle County,DE|New Castle,19730,10003,H1,,Oregon,OR,62963610,1,183224.05,0.29%,,,,,,,,,,
19731,New Castle County,DE,DE|New Castle County,DE|New Castle,19731,10003,H1,,Pennsylvania,PA,29475354,0,0,0.00%,,,,,,,,,,
19732,New Castle County,DE,DE|New Castle County,DE|New Castle,19732,10003,H1,,Puerto Rico,PR,-1,0,0,-100.00%,,,,,,,,,,
19733,New Castle County,DE,DE|New Castle County,DE|New Castle,19733,10003,H1,,Rhode Island,RI,988832,0,0,0.00%,,,,,,,,,,
19734,New Castle County,DE,DE|New Castle County,DE|New Castle,19734,10003,H1,,South Carolina,SC,20492928,1,26692.6,0.13%,,,,,,,,,,
19735,New Castle County,DE,DE|New Castle County,DE|New Castle,19735,10003,H1,,South Dakota,SD,49354554,2,276726.78,0.56%,,,,,,,,,,
19736,New Castle County,DE,DE|New Castle County,DE|New Castle,19736,10003,H1,,Tennessee,TN,26971693,1,0,0.00%,,,,,,,,,,
19801,New Castle County,DE,DE|New Castle County,DE|New Castle,19801,10003,H1,,Texas,TX,171891725,2,887530.31,0.52%,,,,,,,,,,
19802,New Castle County,DE,DE|New Castle County,DE|New Castle,19802,10003,H1,,Trust Territories,TT,-1,0,0,-100.00%,,,,,,,,,,
19803,New Castle County,DE,DE|New Castle County,DE|New Castle,19803,10003,H1,,Utah,UT,54335251,5,839259.05,1.54%,,,,,,,,,,
19804,New Castle County,DE,DE|New Castle County,DE|New Castle,19804,10003,H1,,Vermont,VT,6153126,0,0,0.00%,,,,,,,,,,
19805,New Castle County,DE,DE|New Castle County,DE|New Castle,19805,10003,H1,,Virginia,VA,27375488,1,200192.09,0.73%,,,,,,,,,,
19806,New Castle County,DE,DE|New Castle County,DE|New Castle,19806,10003,H1,,Virgin Islands,VI,-1,0,0,-100.00%,,,,,,,,,,
19807,New Castle County,DE,DE|New Castle County,DE|New Castle,19807,10003,H1,,Washington,WA,45631770,3,1663811.99,3.65%,,,,,,,,,,
19808,New Castle County,DE,DE|New Castle County,DE|New Castle,19808,10003,H1,,West Virginia,WV,15507046,1,7021,0.05%,,,,,,,,,,
19809,New Castle County,DE,DE|New Castle County,DE|New Castle,19809,10003,H1,,Wisconsin,WI,41918605,0,0,0.00%,,,,,,,,,,
19810,New Castle County,DE,DE|New Castle County,DE|New Castle,19810,10003,H1,,Wyoming,WY,62600678,2,2529835.07,4.04%,,,,,,,,,,
19884,New Castle County,DE,DE|New Castle County,DE|New Castle,19884,10003,H1,,,,,,,,,,,,,,,,,
19890,New Castle County,DE,DE|New Castle County,DE|New Castle,19890,10003,H1,,,,,,,,,,,,,,,,,
